,logFC,AveExpr,t,P.Value,adj.P.Val,B,g
RSPH3,1.44192527642623,2.21512450549737,1.40689580090516,0.171447539750149,0.298610043497395,-5.72370649524152,stable
MLIP,0.723012368347481,0.954806767827759,1.40689510313442,0.171447744512487,0.298610043497395,-5.72370742700814,stable
ZNF559,0.921818812925403,1.0557097498987,1.40654823061517,0.171549559014488,0.298763635747723,-5.72417057356682,stable
ESRRB,1.27664612864946,0.898622169851948,1.40634416218282,0.171609479855054,0.298835853848137,-5.72444300153162,stable
STX3,-0.678914206518599,1.46145858861072,-1.40631415831472,0.171618291323124,0.298835853848137,-5.72448305334805,stable
MIR122,-1.4608239595572,0.586703391443476,-1.40590824161139,0.171737535273883,0.299019738740175,-5.72502483508091,stable
RHOT2,-1.1603378929826,1.3870046712784,-1.4058451798585,0.171756066476065,0.299028252976079,-5.72510899233649,stable
RNF40,-1.40782731158267,1.4696503715743,-1.40539116224173,0.171889529983311,0.299236847741753,-5.72571479329279,stable
FAM193B,1.25149962729771,1.53423027398805,1.40521379035936,0.171941692735692,0.299303886798944,-5.72595141720708,stable
SLC27A2,0.809405527682812,0.685602503025536,1.40508103574458,0.171980742340873,0.299344815297055,-5.72612850250926,stable
FDXR,-0.362707982535792,0.286153034936834,-1.40504101338254,0.171992516247726,0.299344815297055,-5.72618188671421,stable
A4GALT,1.28446964885706,1.41620967973296,1.40483330393675,0.172053631139297,0.299427409352535,-5.72645892103534,stable
SNORD78,-1.13285940262896,0.477381872467396,-1.40472096469698,0.172086692176563,0.299461171644236,-5.72660873990471,stable
LZTS1,0.608796845704996,0.685666170711099,1.40444625058652,0.172167560765982,0.299578115538268,-5.72697506345866,stable
DPYSL3,1.44393643806113,2.04874627925337,1.40412657822669,0.172261701782294,0.299718133563749,-5.72740126045454,stable
MIR545,-1.11820803139224,0.472498082055157,-1.40398253998243,0.17230413324808,0.299758787012122,-5.7275932695481,stable
CHPF2,-0.776381194953177,0.665602610048219,-1.40395442593498,0.172312416182645,0.299758787012122,-5.72763074480201,stable
PNPLA1,0.984719644727813,1.07559757115798,1.40368136556098,0.172392881388795,0.299874968491015,-5.72799469340335,stable
EYA4,0.703115244734348,0.516268247241876,1.40359453277316,0.172418475440404,0.29989520580005,-5.7281104158237,stable
PARP16,0.615548711206383,0.457890558223233,1.40354268522317,0.172433758993172,0.29989520580005,-5.72817951035174,stable
