,P01_tissue_tumor_center,P01_tissue_tumor_deep,P01_tissue_tumor_superficial,P08_tissue_tumor,P10_tissue_tumor,P18_tissue_tumor,P19_tissue_tumor,P20_tissue_tumor,P21_tissue_tumor,P01_CTM1,P01_CTM3,P01_CTM4,P01_CTM8,P08_CTM7,P08_CTM10,P08_CTM11,P10_CTM10,P16_CTM2,P18_CTM2,P18_CTM4,P18_CTM5,P18_CTM6,P19_CTM2,P20_CTM14,P20_CTM15,P20_CTM16,P21_CTM11
LONRF1,0,4.86602,0,30.0826,0,0.472317,19.8919,0,0,0,0,0,0,0,0,37.5998,0,0,0,0,0,0,0,0,0,0,0.357731
LONRF2,0,0,0,0.00521521,0,0.0775989,0.0271937,0.121871,0.0382934,0.0343374,0,0.0418533,0.0834806,0,0,0.0199989,0.0675306,0.237288,0.742098,0.453582,0.103554,0.0457271,5.72966,0.0442739,0,0.0261452,0.204863
LONRF3,0,0,0,0.197933,0,0,0,0,0,0.130252,0,0,0,0,0.0936746,0,0,0,0.11403,0,0,0,0,0,0,0,24.4459
LOR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOX,0.0165059,13.4732,1.71556,0,0,7.75661,0,0,0.17894,0.0880053,0,0,2.00475,0,0,0,0,0,0,0,0,0,0,0,0,0,2.95462
LOXHD1,0,0,0,0,0,0,0,0,0,0,0,0,0.223962,0,0,0,0,0.621742,0,0,0,0,0,0,0,0,0
LOXL1,0,0,0,0,81.3102,0,0,0,0,0,0,0,0.189779,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOXL1-AS1,0,0.115207,2.24007,0.622834,3.24087,0.941548,0.408251,1.45658,0.807217,0,0,0,0.312794,0,0,1421.21,0.826466,1.44526,11.4839,2.72146,2.40191,0,8.56811,0,0.425869,0.874848,5.49602
LOXL2,116.644,3.95604,22.3045,3.18305,76.4492,209.978,0,0.916096,55.5076,0,0,0,3.5078,0,0,0,0,21.8549,5.25901,0,0.795716,0,0.574387,0,22.4664,0,7.08188
LOXL3,0,0.0631777,90.3623,0,0,0,0,0,5.79312,0,0,0,0.684877,0,11.6145,0,0,0,0.115993,0,0,0,0,0,0,0,29.3089
LOXL4,0,0,0,0,0,0,0,0,0,0,0,0,0.0837938,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LPA,0,0,0,0,0,0,0,0,0,0,0,0,1.09513,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LPAL2,0,57.9521,2.01466,0,21.7843,0,0,0,0,0,0,0,0.905958,0,0,0,0,0,11.2585,0.780247,0,0.316327,0,0,0,0,0
LPAR1,0.0342706,0,0,0,0,0.242726,0,0,0,0,0,0,0.323745,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LPAR2,0,0,0,0.0545165,0,611.234,153.789,0,0.672118,0,0,0,0.300345,0,0,0,0,0,0,0,0,0,0,0,0,0,12.1412
LPAR3,0,0,0,0,0,0,0,0.0583273,0.019501,0,0,0,0.260383,0,0,0,0.0938801,0.572064,1.1001,0,0.228005,0,0.846786,0,0.0819429,0,0
LPAR4,0,0,0,0,0,0,0,0,0,0,0,0,0.118028,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LPAR5,0,0,3.05932,0,0,0,0,0.250694,0.693001,0,0,0,0.0951769,0,0,0,0,0,0,0,0,0,0,0,0,0,3.77868
LPAR6,0,0.695816,0,22.5471,0,0.046655,28.4474,102.887,33.1109,0,0,0,0.117241,0,170.925,92.8804,0,0,0.160281,0,0,0,0,0,0,0,0
LPCAT1,12.4654,0.0438542,0.305186,0,0.0448939,13.0929,0,0.0456132,2.12961,0,0,0,0.819212,0,0,0,0,0,0.663981,0,0,0,0,0,0,0,3.78342
LPCAT2,139.142,0,48.0459,0.157292,0.0781166,0.0189131,0.0476744,6.09027,0.114279,0.075967,61.6576,1054.88,1.54413,0.229708,7.93066,0.343569,2.04996,0,10.8812,8.89565,1.16877,0.938086,49.5711,7.69696,1.16591,0.350837,5.83153
LPCAT3,0.134728,40.4561,101.555,0.175437,141.927,18.6995,0.173816,0.540408,43.4981,0,0,0,2.67318,922.347,23.6877,17.0254,0,0,1.10871,0,0.355148,0,0.749206,0.633034,0,0,62.1502
LPCAT4,56.3205,142.528,6.81461,0.154093,0,0.260122,0.102291,0.720895,79.4104,0,0,0,0.672544,35.3195,111.261,0,0.328883,0,0.303151,0,0,63.285,0,0,0,0,37.6305
LPGAT1,5.96865,0,0.00838782,4.07157,0,0.0538953,0.062515,2.0961,1.65316,0,0.0165238,0.0158999,4.08938,0.0131829,13.6036,0,0.365136,0.547982,1.25813,0.853804,0.170514,0.122777,5.2511,0,31.127,0.0817464,12.8712
LPHN1,0,0.652599,0,0.212682,0,0,0,0,0.103326,0,0,0,0,0,2.68649,0,0,0,0,0,0,0,0,0,0,0,3.30495
LPHN2,0.0633345,39.3856,0,0,0,0.0455394,233.307,0.0352293,0.023259,0.168456,0,0,0.428244,98.966,0,0,0,0,0,0,0.440912,0,0,0,0,0,0.139063
LPHN3,0,0,1.77606,0,0,0,0,0,0,0,0,0,1.77998,0,0,0,0,0,0,14.9598,0,0,0,0,0,0,0
LPIN1,2.6957,0.0162252,0.0130297,0.977648,0.237665,22.8544,0,2.36991,1.85543,0.0816847,0,0.0462815,23.7734,1.46531,21.2428,0,3.82523,216.898,31.2271,3.57223,6.20905,0.240951,67.217,0.0997567,7.75979,0.131049,33.5678
LPIN2,6.82948,0.302909,4.74478,24.4887,0,0.0490348,0,0.0162618,0.0111424,0.144798,0.11915,433.707,0.133487,0.0549808,0.123617,0.117996,0,0.0712915,0.0665883,0.136025,0,0,0.0682384,0.16443,0.120944,0.169416,17.8925
LPIN3,78.9859,25.6,0,23.9994,79.8901,120.396,56.0719,15.3365,7.34229,0,0,0,0.797627,0,0,0,0.0910034,0.334071,2.60604,0.359856,0,0.134883,1.02587,0,13.3402,0.106139,1.63239
LPL,0,0.544094,55.507,0,0.0254242,0,0,0,0,0,0,0,0.147058,0,0.085596,0,0,0,0,0,25.7894,0,0,0,0,0,0
LPO,0,0,0.380365,1.16298,0,0,0.344193,0.418647,0.282474,0,0,0.313162,0.26775,2.60019,0,0,19.9024,1.12272,0.507103,2.37951,4.23057,0,7.19682,0,1.05166,0,1.20938
LPP,14.0203,142.69,4.00134,96.9143,10.1845,7.27623,25.789,1.19526,5.87245,0.0446973,29.7037,0.0222215,6.76935,0.993885,27.2217,486.223,4.47722,10.7199,32.5475,14.3689,6.46301,1.04315,36.1098,2.69759,15.846,6.56129,4.93552
LPP-AS1,0,0,0,0,0,0,0,0,0,0,0,0,1.0825,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LPPR1,0,0,0,0,0,0,0,0,0,0,0,0,0.46422,0,0,0,0,0,0,0,0,0,24.1827,0,0,0,0
LPPR3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LPPR4,0,0,0.0151114,0,0,0,0,0,0,0,0,0,0.366052,0,0,0,0,0,0,0,0,0,0,1.17826,0,0,0
LPPR5,0,0,0,0,0,0,0,0,0,0,0,0,1.15851,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LPXN,1.15796,1.61576,92.1423,0.0727395,2.59874,0.410483,1.75087,1.36999,117.092,0,0,0,0.301765,0,0,0,0,1.1024,0,0,0,0,1.42136,0,0,0,18.386
LRAT,0.0166426,0,0,0.175505,0,0.0219351,0,0.0369049,0.0358864,0,0,0,0.658466,0,0.0500013,0,0,0.559232,0.960758,0,3.404,0.198743,3.7361,0.0479162,1.21724,0,0.352522
LRBA,34.7011,0.0188785,11.4565,12.4425,1.33023,183.219,0,4.3731,37.7156,0,0.0667542,0,0.405729,0,0.138897,6.08288,0,2.45302,1.85871,0,0,0,6.48445,0,0.0330394,0,3.62546
LRCH1,0,0,3.24126,8.03451,0,0.0284212,0.0364213,16.0478,0.583514,0,0,0,0.145721,0,0,0,0,0,0,0,0,0,0,0,108.311,0,3.99327
LRCH2,0,0,0,0,32.0252,0,0,0,0,0,0,0,0.13864,0,0.719512,0,0,0,0,0,0,0,0,0,0,0,0
LRCH3,0.0613724,0,0.238604,1.82592,0.177283,4.37265,1.06187,7.6063,3.31514,0.121158,3.14448,0.30498,2.81257,0.030488,39.41,0.340784,1.71013,68.7812,50.6341,5.11279,3.18739,8.34895,48.5287,7.17156,3.44261,1.0323,78.4225
LRCH4,0.427916,0,0.113452,0.0357253,1.21117,0.738964,0,0.0248897,0.147653,0,0,0,1.99335,48.0692,0,0,0,4.07436,2.13851,0.726858,5.70083,0.111549,0.351659,0,0.105321,0.0775363,5.22873
LRCOL1,0,0,0,0,0,0,0,0,0,0,0,0,1.69003,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LRFN1,0,0,0,0,0,0,0,0,0,0,0,0.584792,0,0,0,0,0,0,0,0,0,0.327744,0,0,1.93063,0,0
LRFN2,0,0,0,0,0,0,0,0,0,0,0,0,0.093816,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LRFN3,0.971368,0,0,1.16412,0,0,0,4.62869,0.914782,0.175285,0,0,1.92245,0,0,0,0,0,21.215,0.955665,0,4.351,64.6786,0,0,0,4.52574
LRFN4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.7191
LRFN5,0,0,0,0,0,0,0,0,0,0,0,0,0.0736715,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LRG1,0,0,0,24.3634,0.0408118,1.37052,30.0487,49.1416,0.479799,0,3.84774,0,0.758356,0,0,0,0.324435,4.87893,10.7047,1.14546,0.534655,0,3.68716,4.01897,1.65978,0,0.846098
LRGUK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.21505,0,0,0,0,0,0,0,0
LRIF1,0,0,15.5787,17.9004,61.6107,0,0,33.8046,0,0,0,0,0.090966,0,1.41577,0,5.10691,0.359636,0,0,0,0,0,0,0,0,22.165
LRIG1,0,0,0,0.336328,0.237434,0,0,0,26.4687,0,0,0,0.136446,105.511,15.6018,78.2971,0,0.10721,0,0,0,10.7498,0,0,0,0,0.34007
LRIG2,0.0725811,0.00743481,0.0294568,0,0.00796025,0,0,0,0,0,0,0,0.0799461,0,0,0,0.0902084,0,0.295733,0,0,0,0,0,0,0,0
LRIG3,0,0,0,0,0,0,0,0.20802,0,0,1.98352,0,0.758162,0,0,0,0,0,0,0,0,0,0,0,0,0,1.38537
LRIT1,0,0,0,0,0,0,0,0,0,0,0,0,0.144348,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LRIT2,0,0,0,0,0,0,0,0,0,0,0,0,0.140783,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LRIT3,0,0,0,0,0,0,0,0.0521917,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.280575,0,0,0,0
LRMP,0,0,0,5.91142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LRP1,0.0218351,8.96981,66.0778,24.9072,3.9056,360.447,0.00787547,0.478401,37.5136,0,0,0,0.111668,0,0,0,0,0,3.26005,0,2.21419,7.33002,1.42645,0,0,0,7.54494
LRP10,223.912,107.351,16.7275,0.0942702,15.537,0.396827,0.259155,38.0644,2.62343,0.230617,1.94238,0,0.360486,0.101496,20.2665,746.207,0.389535,1.35473,2.70056,0.931368,5.6154,7.47378,1.56731,0.142153,9.03994,0.0677752,7.56758
LRP11,0.298383,0.061896,20.5056,22.1509,0,148.967,0.0413947,155.068,0,0,27.5265,0,0.102917,0,0.213791,612.716,0,0.160571,0,0,0,2.46406,0.296454,0,0,0,21.1713
LRP12,0,0.015257,0,0.160874,0.0165828,0.428433,0.235046,0.378583,0.127798,0,0.326755,0,0.660251,0,0.0815561,0,0,3.02792,1.6365,14.1488,1.13518,0.672876,21.5637,0,0.58094,0.0997512,0.449907
LRP1B,0,0,0,0,11.3319,0,0,0.186399,0,0,0,0,0.178818,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LRP2,0,0,0,0,0,0,0,0,0,0,0,0,0.631376,0,0,0,0,0,0.0527407,0.0283693,0,0,0,0,0,0,0
LRP2BP,0,0,0,0.156524,0,0,0,0.213739,0.160885,0,0,0,0.378994,0.0198237,3.27564,0.683599,0,0,3.00819,17.5716,2.40544,0.870583,11.6695,0,0,0.116961,0.0696675
LRP3,0,0,0,0.0238939,0,0.0579181,0,0.0340244,0.119565,0,0,0,1.26365,0,0,0,0,0,0.222782,0.657932,0.234025,0,0.379689,0.274461,3.71554,0.767638,5.81375
LRP4,0,0,0,7.59716,0,0,0,0,0,0,0,0,0.93764,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LRP4-AS1,0,0,0,0,0,0,0.174274,0.0766265,0,0,0,0,0.216732,0,0,0,0,2.7343,5.04311,0,0.305226,0.315582,8.06558,0,0,0,0
LRP5,0.307084,198.296,0.912951,12.8851,0,0.666904,0,0,0.731497,0,723.227,0,1.01996,0,219.929,979.582,0,0,0,0,0,0,0,0,0,0,115.156
LRP5L,0,0,0,0,0,0,0,0,0,0,0,0,1.02917,0,0,0,0,0,0.101385,0,0,0,0,0,0,0,10.2191
LRP6,0,0,0.568834,5.42824,6.22907,0.0299639,0,10.9429,36.0353,0,2.71914,0,0.15425,0,0,4.53233,0,0,0,0,0,0,0,0,0,0,45.6001
LRP8,0,0,0,0.143337,0,0.0389968,293.759,0.991986,0.545573,0,0,0,0.618592,0,0,0,0.213921,0.125206,3.72675,0.334149,2.90733,0.506068,2.5253,0.528865,0.906115,0.117238,23.8503
LRPAP1,0.108515,0.947076,0.0110257,70.5575,585.121,1.11998,0.210145,1.77449,55.1115,0.064377,0.0910449,0.0448083,4.50763,0.533315,0.673687,0.786789,1.35597,0.307751,7.11632,5.58817,2.35654,1.7235,18.9138,0.208943,0.645134,0.0999788,74.0708
LRPPRC,128.31,73.0964,171.258,44.5296,0.184539,0.330961,42.3818,33.8635,48.5021,0,0,0,0.333732,0,15.3255,0,0,1.41738,6.17875,0.0814867,3.15276,0.181222,2.11166,1.0897,0.87809,1.28951,152.789
LRR1,0,0.143351,0,23.9271,0,0,0,0,0,0,0,0,0.668043,0.600815,0.738995,0,0,0.737497,0,0,0,0,0,0,0,0,384.328
LRRC1,24.9551,0,29.3047,5.74638,0.0303759,0,0,6.85791,0,0,0,0,0.0959168,0,0,0.244723,0,0,242.328,0,0,0,1.55938,0,0.55585,0.482838,2.01135
LRRC10,0,0,0,0,0,0,0,0,0,0,0,0,0.227177,0,0,0,0.267118,0,3.76558,0.988068,7.81406,0,0.98749,0,0,0,0
LRRC10B,0,0,0,0,0,0,0,0,0,0,0,0,0.174123,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LRRC14,0,14.787,0,9.97358,0,0,0.377685,0,0,0,0,0,1.12005,0.346652,6.59052,0,0,0,0,0,0,0,0,0,0,0,17.4392
LRRC14B,0,0,0,0,0,0,0,0,0,0,0,0,0.234207,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LRRC15,0.031331,12.0478,0,10.6947,0,0,0,0,0,0,0,0,0.199168,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LRRC16A,335.927,138.624,51.751,52.2524,70.572,94.4833,0.21581,4.84835,0,0.388603,0.543802,995.16,0.314166,1.04522,292.54,11.7308,0.287174,0.454325,4.0055,0,0.304232,0,0.48273,0.799497,0.063102,0.320229,57.3693
LRRC16B,0,0,0,0,0,0,0,0,0,0,0,0,0.241699,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LRRC17,0.13093,68.7921,0,0,0,0,0,0.1005,0,0,0,0,0,0,0,320.121,0,0,0,0,0,0,0,0,0,0,0.578848
LRRC18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LRRC19,0.0217131,0,0,15.2374,0,0.0817805,0.0343351,0.366144,18.1424,0.229729,0,0,0.373974,0,0,0.0459757,0.0873237,0,1.38546,6.06382,0.1072,0,3.70201,0,0.783493,0,0.186714
LRRC2,0,0,0,0.248819,0.127717,0.0747016,0.214089,0.553602,0.409426,0.245464,0.0392287,0,0.582122,0.0305022,0,0.137495,0,7.04049,15.1557,2.04573,3.07701,0,7.60713,0.154469,1.56258,2.69011,0.384538
LRRC20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LRRC23,28.9679,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55.2513,0,0,0,0,0,0
LRRC24,0,0,0,0,0,0,0,0,0,0,0,0,0.234895,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LRRC25,0,0,0,0.139398,0,4.43739,0,0.265735,0.18814,0,0,0,0.154072,0,0,0,0,0,2.39446,3.07509,0,1.59221,1.51137,0.827525,1.25904,0,0.940935
LRRC26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LRRC27,0.046196,0.114517,0.150325,0.117198,0.52279,0.640902,0.0166334,0.503408,0.254626,0,0.0488158,0,0.916572,0.0452535,0.131443,0.0611083,0.0764015,5.86473,3.48924,2.32369,0.640868,1.83012,5.6409,1.82816,10.8167,0.0896668,0.671852
LRRC28,0.933206,0.318268,0,0.212237,226.19,0.356256,0.391218,0.484318,0.519951,0,0,0.449123,2.76064,0,0.205955,2.64322,0.0501199,1.11533,6.44907,2.40043,0.801075,0.788789,2.81925,1.11886,1.08857,0,20.5987
LRRC29,0,0,0,0,0,0,0,0,0.235913,0,0,0,0.519808,0,308.553,0,0,0,0,0,0,0,0,0,0,0,0
LRRC3,0,0,0,0.184041,0.0538678,0.928736,0.115376,0.365596,0.0367983,0.243605,0,0,0.12071,0,0,0.258832,0.170283,0.631599,0.307292,0,0,0,2.91481,0,0,0,0
LRRC3-AS1,0,0,0,0,0,0,0,0,0,0,0,0,0.525316,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LRRC30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LRRC31,0,0,0,13.1344,0,0,0,4.51334,4.01584,0,0,0,0.722577,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LRRC32,0.582411,172.167,0,0,0,0,0,0,89.4027,1.2617,1.45787,4213.46,0.956775,9491.02,648.628,2.59233,0.988431,1.04708,0,0,12.1524,0,1.04269,0,2.17636,0.972812,0
LRRC34,0,0.0207053,0,0.103413,0.0228767,0.0270724,0.133015,0.0946422,0.225841,0,0.0308477,0,0.0929169,0,0,0,1.73884,9.81329,5.63922,5.08622,0.10558,0.119462,63.5448,0.908044,0.197575,0.177846,0.180574
LRRC36,0,0,0,0.252672,0,1.30643,0,1.92271,0.818564,0,0,0,2.92606,0,2.02814,0.254966,16.15,3.55716,138.012,62.6153,34.4161,17.1843,84.9594,2.17935,4.60059,51.8647,2.27167
LRRC37A,0.24576,0.0229463,0.018128,0.0358251,0.0247917,0.0685767,0.0308841,2.63339,0.150363,0,0,0,0.526573,0,0,0,1.65362,0.494891,5.15693,1.20738,1.21064,0.168302,5.98931,0.083309,0.0766687,0,0.101451
LRRC37A11P,0,0,0,0.0207437,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LRRC37A2,1.85231,0.36744,5.49283,0.207922,0,0,0.0378639,0.325953,0.178438,0.153296,0,0,0.536246,0,46.8465,0,0,0,0.148144,0,0,0,2.99661,0,0,0,5.04446
LRRC37A3,0.313325,0,0,4.92967,0,0,0,0,0,0,0,0,1.92631,0,0,0,0,3.26055,0,0,0,0,0,0,0,0,0.160202
LRRC37A4P,11.9858,18.2213,0,0.0662538,0,0,0,0.18711,0.0849964,0,0,0,0.452206,0,0,0,0,0,0.448533,0.145386,0,0,0,0,0,0,0
LRRC37A5P,0,0,0,0.391467,0,0,0,0.559046,0.0766842,0,0,0,0.348214,0,0,0.850128,0,1.85486,5.40258,10.9988,4.70993,0,6.28448,0,0.482704,0,1.44827
LRRC37A6P,0,0,0,0.064576,0,0,0,0,0,0,0,0,0.0661394,0,0,0.254552,0,0,0,0,0,0,0,0,0,0,0.129334
LRRC37B,0,0,0.0963956,1.24865,0,0,0,0,0.274504,0,0,0.796203,2.19657,1.01631,8.86315,10.5673,0,5.07502,27.9967,21.2985,0,0,2.06307,0,10.0067,0,10.26
LRRC37BP1,49.2776,0,0.971535,0,0.032829,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.64614,0,18.3715
LRRC38,0,0,0,0,0,0,0,0,0,0,0,0,0.150975,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LRRC39,0,0,0,1.89177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LRRC3B,0,0,0,0,0,0,0,0,0,0,0,0,0.619952,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LRRC3C,0,0,0,0,0,0,0,0,0,0,0,0,0.849073,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LRRC4,0,0,0,0,0,0,0,0,0,0,0,0,0.846449,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LRRC40,0,0,0,0.0229249,0,0,0,0,2.53686,0,0,0,0.219718,0,4.31784,0,0,0,0.207546,0,0,0,0,0,0,0,10.1035
LRRC41,0.269059,0.0807048,0.0211279,0.0869614,0.569437,0.154003,66.1082,43.3017,40.3229,0,0,0,0.430822,0,57.8716,0.0798042,2.82237,0.66786,3.12214,2.64373,0.423225,0,5.12298,0,1.58962,1.34812,25.087
LRRC42,0,0,38.3159,0,121.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.7268
LRRC43,0,0,0,0,0,211.565,0.0657457,0,0.0457132,0,0,0,0,0,0,0,0,0,0,0,0,0.857876,22.6977,0,0.884618,0,0.790282
LRRC45,0,0,0,0,0,0,0,0,0,0,0,0,0.377637,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LRRC46,0,0,0,0,0,0,0,0,0,0,0,0,0.488595,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LRRC47,66.7596,0,0.144766,4.76172,0.0482417,0.496914,0,5.33555,32.45,0,0.251312,0,0.468724,0.240922,0,103.401,6.69237,6.16861,1.85631,0.138,0,222.751,12.7399,0.361496,1.13116,0,58.6838
LRRC48,79.6109,0.0180347,0.906328,0,0,0,0,0.632518,0.215828,0,0,0,3.15228,0,0,236.493,0,0.979436,0,0,0,0,0,0,1.33753,0,103.126
LRRC49,0,0,1.11623,1.31345,0.323789,0,0,1.5062,1.78261,1.44596,1.69906,0,6.47417,0,0,0,0,16.4703,98.3492,0,33.5066,1.41595,51.5411,0,1.34933,1.27431,0
LRRC4B,0,0,0,0,0,0,0,0,0,0,0,0,0.553726,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LRRC4C,0,0,0,0,0,0,0,0,0,0,0,0,0.0693037,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LRRC52,0,0,0,0,0,0,0,0,0,0,0,0,0.470248,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LRRC55,0,0,0,0,0,0,0,0,0,0,0,0,0.285741,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LRRC56,0.31583,0,0,0.068136,0,0.104178,0,0.0980381,0,0,0,0,0.404525,0,0,0,0,2.92641,0.27957,0,0,0.310195,0.116152,0,0,0,0
LRRC57,0.971519,0.252295,0.0980958,31.1167,0.579329,0.638866,0.0539196,0.578343,0.483453,0,10.972,0.117026,0.751909,0,0.155726,2.68075,0.709915,17.2493,15.5484,0.351958,0.168424,159.253,25.0767,0,2.22919,1.28888,23.031
LRRC58,0.562715,0.0709174,13.9698,6.7484,4.44647,2.2244,0.0161931,0.6904,5.67459,0,0.0135725,0.0126276,0.514697,0.0289481,23.3153,2.41547,0.232283,2.73434,7.78799,21.423,3.03011,1.89078,19.6894,10.7902,0.295133,0.514059,30.2051
LRRC59,0.0693726,8.7626,58.6113,48.3996,53.1167,19.7074,69.4568,47.3583,25.1386,0,0,0.157664,0.4705,0.166652,0,89.5397,0,0,0,0,0,0,0.145192,0,0,0,155.484
LRRC6,0,0,0,11.7621,0,0.257634,0,75.669,24.0522,0,0,0,0.918133,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LRRC61,262,0,0,0,0,0,0,95.5365,2.68135,0,0,0,1.00302,0,0.418115,0,0.270131,0,0,0,0,0,0.164663,0,0,0,55.087
LRRC63,0,0,0,0,0,0,0,0,0,0,0,0,0.389315,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LRRC66,16.9287,0,0,0,0,0,0,0.0908218,0,0,0,0,0.099672,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LRRC69,0,0,0,0.462767,0,1.4588,60.0129,2.12022,0.471899,1.97283,0.498866,0.468269,0.379316,0.487001,4.06568,3.70351,0.189092,1.8093,11.5425,1.08979,1.65189,0.178065,9.37091,0.148516,1.78849,0.408837,30.3266
LRRC7,0,0,0,0,0,0,0,0,0,0,0,0,2.77701,0,0,0,0,0,18.7554,0,0,0,0,0,0,0,0
LRRC70,0,0,0,0,0,0,0,0,0,0,0,0,0.292843,0,10.8528,6.25769,0,0,0,0,0.353727,0,0,0,0,0,0.655262
LRRC71,0,0,0,0,0,0,0,0,0,0,0,0,0.686681,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LRRC72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.5518,0,0,0,0,0,0,0,0,0,0
LRRC73,0,0,0,0,0,0,0,0,0,0,0,0,0.400651,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LRRC8A,0.228164,0.52737,136.903,7.09934,93.0929,0.0554469,5.06281,2.9183,0.0205917,0,149.509,0,0.268204,0,0.295109,56.5229,0,0.0933453,0.268476,0,0,0,4.69893,0,0,0,9.60372
LRRC8B,0,0,0,0.0404157,0,1.91318,0.374671,0.198909,0.132697,0,0,0,0.225878,0,10.254,31.7582,0,0.324766,2.66982,0.0735085,0.214521,0.0985141,0.559762,0.0982243,5.71562,0,0.117021
LRRC8C,0,0.372885,0.00907447,0.744213,0,0,0,0.239033,6.3369,0.0561589,0.132282,0,0.0802506,0,0,7.78503,0,0,0,115.784,0,0,35.1571,0,0,0,0
LRRC8D,0,0,2.68231,37.0691,54.8446,206.884,0,0.06216,23.3057,0.128555,0,0,0.651549,0,0,0,0,0,0,49.6874,0,0,0,0,0.0682211,0,10.4109
LRRC8E,0,0,0,0.844336,0,18.4636,0,0.30298,0.637302,0,0,0,3.85282,0,0,0,0,3.22276,1.00853,0,0,0,3.89975,0,0,0,4.24608
LRRC9,0,0,0,0,0,0,0,12.3394,0.413047,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LRRCC1,0.0196922,13.7547,13.9753,10.3251,0.110845,0,5.14507,0.110147,0,0.099796,129.572,0,0.484581,0,4.64324,0,0.155337,0,0,19.5428,0,0,7.60307,0,0,0,0
LRRD1,0,1.48544,0.249685,0.1226,32.6304,0,0,0.62501,0.387309,0.000160775,0,0,1.18208,0,0.205724,0,3.1162,6.52406,7.70264,0.217839,0.000203349,3.03382,3.06114,0.000160998,0.406174,0.00016264,0.963396
LRRFIP1,27.5464,5.01162,35.5485,11.1671,28.8037,176.742,1.58525,30.8546,39.34,0.497457,43.926,0.366579,8.52555,0.17853,838.908,61.9777,21.413,132.802,218.351,58.1566,11.7108,30.4664,164.215,1.07761,37.3501,1081.74,55.3315
LRRFIP2,0,0,4.77122,0.736241,107.013,0.348671,0.135177,0.274329,4.76424,1.52039,0.610161,2490.17,8.01688,3.13509,2.14452,21.7784,12.9256,0.37723,2.64628,0,0.242849,0,96.4509,3.39085,1.31047,1.10635,94.6883
